country,India,,,
city,Ludhiana,,,
,,,,
Year,Sum of avg_temp,Moving Average,Ludhiana,Global
1816,24.03,23.14,23.14,7.768
1817,22.18,23.01285714,23.01285714,7.91
1818,22.84,23.15166667,23.15166667,8.093
1819,22.25,23.214,23.214,8.127
1820,23.59,23.455,23.455,8.184
1821,23.15,23.41,23.41,8.274
1822,23.27,23.54,23.54,8.229
1823,23.81,23.81,23.81,8.155
1824,,23.18,23.18,8.184
1825,,23.17,23.17,8.144
1826,,22.87,22.87,8.044
1827,,22.7,22.7,7.978
1828,,22.876,22.876,7.835
1829,,23.535,23.535,7.769
1830,,23.535,23.535,7.738
1831,,23.45714286,23.45714286,7.666
1832,,23.4575,23.4575,7.671
1833,23.18,23.56222222,23.56222222,7.728
1834,23.16,23.56,23.56,7.744
1835,22.27,23.50666667,23.50666667,7.694
1836,22.19,23.58111111,23.58111111,7.74
1837,23.58,23.73444444,23.73444444,7.825
1838,26.83,23.67666667,23.67666667,7.896
1839,,23.22,23.22,7.943
1840,22.99,23.182,23.182,7.978
1841,23.46,23.19,23.19,7.988
1842,24.4,23.149,23.149,8.037
1843,23.16,23.009,23.009,8.045
1844,22.68,23.006,23.006,8.032
1845,22.94,23.071,23.071,8.088
1846,23.57,23.15,23.15,8.114
1847,23.06,23.023,23.023,8.059
1848,22.72,22.57,22.57,8.026
1849,22.84,22.55333333,22.55333333,8.038
1850,23.07,22.5175,22.5175,8.065
1851,23.05,22.43857143,22.43857143,8.071
1852,23,22.33666667,22.33666667,8.038
1853,23.13,22.204,22.204,7.984
1854,23.33,21.9725,21.9725,7.991
1855,23.73,21.52,21.52,7.968
1856,22.3,20.415,20.415,7.975
1857,18.53,18.53,18.53,8.004
1858,,#DIV/0!,23,8.072
1859,,#DIV/0!,23,8.087
1860,,#DIV/0!,23,8.105
1861,,23.3,23.3,8.129
1862,,23.255,23.255,8.156
1863,,23.28333333,23.28333333,8.219
1864,,23.325,23.325,8.243
1865,,23.202,23.202,8.288
1866,,23.29,23.29,8.256
1867,,23.24857143,23.24857143,8.235
1868,,23.225,23.225,8.245
1869,,23.21111111,23.21111111,8.303
1870,23.3,23.24,23.24,8.277
1871,23.21,23.322,23.322,8.269
1872,23.34,23.384,23.384,8.284
1873,23.45,23.386,23.386,8.278
1874,22.71,23.368,23.368,8.241
1875,23.73,23.402,23.402,8.175
1876,23,23.299,23.299,8.181
1877,23.06,23.312,23.312,8.168
1878,23.1,23.333,23.333,8.105
1879,23.5,23.353,23.353,8.031
1880,24.12,23.352,23.352,8.046
1881,23.83,23.257,23.257,8.031
1882,23.36,23.157,23.157,8.006
1883,23.27,23.212,23.212,8
1884,23.05,23.115,23.115,8.008
1885,22.7,23.108,23.108,8.047
1886,23.13,23.195,23.195,8.07
1887,23.27,23.287,23.287,8.096
1888,23.3,23.296,23.296,8.134
1889,23.49,23.354,23.354,8.143
1890,23.17,23.415,23.415,8.151
1891,22.83,23.463,23.463,8.204
1892,23.91,23.531,23.531,8.256
1893,22.3,23.53,23.53,8.279
1894,22.98,23.624,23.624,8.295
1895,23.57,23.678,23.678,8.288
1896,24.05,23.612,23.612,8.296
1897,23.36,23.55,23.55,8.313
1898,23.88,23.525,23.525,8.279
1899,24.1,23.483,23.483,8.28
1900,23.65,23.372,23.372,8.258
1901,23.51,23.317,23.317,8.23
1902,23.9,23.32,23.32,8.194
1903,23.24,23.284,23.284,8.181
1904,23.52,23.252,23.252,8.189
1905,22.91,23.211,23.211,8.239
1906,23.43,23.341,23.341,8.275
1907,23.11,23.351,23.351,8.26
1908,23.46,23.291,23.291,8.267
1909,22.99,23.298,23.298,8.261
1910,23.1,23.328,23.328,8.281
1911,23.54,23.344,23.344,8.295
1912,23.54,23.442,23.442,8.334
1913,22.92,23.445,23.445,8.358
1914,23.11,23.479,23.479,8.37
1915,24.21,23.497,23.497,8.362
1916,23.53,23.39,23.39,8.356
1917,22.51,23.331,23.331,8.406
1918,23.53,23.385,23.385,8.456
1919,23.29,23.413,23.413,8.506
1920,23.26,23.438,23.438,8.492
1921,24.52,23.422,23.422,8.519
1922,23.57,23.334,23.334,8.534
1923,23.26,23.37,23.37,8.564
1924,23.29,23.346,23.346,8.556
1925,23.14,23.37,23.37,8.568
1926,22.94,23.372,23.372,8.567
1927,23.05,23.419,23.419,8.549
1928,23.81,23.444,23.444,8.567
1929,23.54,23.435,23.435,8.59
1930,23.1,23.441,23.441,8.642
1931,23.64,23.487,23.487,8.655
1932,23.93,23.582,23.582,8.66
1933,23.02,23.562,23.562,8.662
1934,23.53,23.636,23.636,8.704
1935,23.16,23.61,23.61,8.726
1936,23.41,23.609,23.609,8.732
1937,23.3,23.698,23.698,8.745
1938,23.72,23.822,23.822,8.755
1939,23.6,23.828,23.828,8.744
1940,23.56,23.857,23.857,8.727
1941,24.59,23.783,23.783,8.688
1942,23.73,23.704,23.704,8.674
1943,23.76,23.733,23.733,8.665
1944,23.27,23.801,23.801,8.676
1945,23.15,23.859,23.859,8.647
1946,24.3,23.896,23.896,8.652
1947,24.54,23.842,23.842,8.612
1948,23.78,23.686,23.686,8.605
1949,23.89,23.724,23.724,8.607
1950,22.82,23.716,23.716,8.621
1951,23.8,23.821,23.821,8.642
1952,24.02,23.765,23.765,8.659
1953,24.44,23.708,23.708,8.67
1954,23.85,23.635,23.635,8.669
1955,23.52,23.567,23.567,8.654
1956,23.76,23.559,23.559,8.644
1957,22.98,23.538,23.538,8.676
1958,24.16,23.581,23.581,8.673
1959,23.81,23.498,23.498,8.648
1960,23.87,23.53,23.53,8.635
1961,23.24,23.544,23.544,8.647
1962,23.45,23.591,23.591,8.627
1963,23.71,23.613,23.613,8.602
1964,23.17,23.628,23.628,8.611
1965,23.44,23.665,23.665,8.617
1966,23.55,23.656,23.656,8.638
1967,23.41,23.645,23.645,8.613
1968,23.33,23.687,23.687,8.628
1969,24.13,23.724,23.724,8.645
1970,24.01,23.705,23.705,8.658
1971,23.71,23.737,23.737,8.686
1972,23.67,23.764,23.764,8.743
1973,23.86,23.742,23.742,8.757
1974,23.54,23.667,23.667,8.765
1975,23.35,23.703,23.703,8.787
1976,23.44,23.812,23.812,8.779
1977,23.83,23.823,23.823,8.827
1978,23.7,23.892,23.892,8.841
1979,23.94,23.983,23.983,8.892
1980,24.33,23.951,23.951,8.911
1981,23.98,23.928,23.928,8.936
1982,23.45,23.907,23.907,8.937
1983,23.11,23.941,23.941,8.957
1984,23.9,24.064,24.064,8.941
1985,24.44,24.103,24.103,8.976
1986,23.55,24.063,24.063,9.045
1987,24.52,24.089,24.089,9.066
1988,24.61,23.963,23.963,9.087
1989,23.62,23.936,23.936,9.119
1990,24.1,24.064,24.064,9.156
1991,23.77,24.111,24.111,9.153
1992,23.79,24.184,24.184,9.176
1993,24.34,24.296,24.296,9.249
1994,24.29,24.272,24.272,9.315
1995,24.04,24.328,24.328,9.343
1996,23.81,24.336,24.336,9.378
1997,23.26,24.427,24.427,9.427
1998,24.34,24.561,24.561,9.48
1999,24.9,24.552,24.552,9.471
2000,24.57,24.549,24.549,9.493
2001,24.5,24.59,24.59,9.543
2002,24.91,24.575,24.575,9.554
2003,24.1,24.521,24.521,9.548
2004,24.85,24.655,24.655,9.556
2005,24.12,436.871,436.871,9.581
2006,24.72,482.7322222,482.7322222,9.594
2007,24.6,539.98375,539.98375,9.601111111
2008,24.25,613.61,613.61,9.585
2009,24.87,711.8366667,711.8366667,9.607142857
2010,24.98,849.23,849.23,9.623333333
2011,24.35,1055.2925,1055.2925,9.608
2012,24.37,1398.94,1398.94,9.63
2013,25.44,2086.225,2086.225,9.67
Grand Total,4147.01,,,
